Center Lat	Center Lon	Radii (m)
26.806761	-80.083669	3218
29.677295	-82.339025	3218
25.777209	-80.190352	3218
25.84163	-80.30555	3218
25.773441	-80.3303	3218
27.294914	-82.45159	3218
25.76498	-80.243471	3218
27.937915	-82.261502	3218
30.197155	-81.74674	3218
28.568418	-81.282577	3218
26.169977	-81.799432	3218
28.055251	-82.432577	3218
30.32981	-81.54702	3218
27.960616	-82.723241	3218
30.23405	-81.69774	3218
30.287611	-81.457466	3218
26.047706	-80.251604	3218
31.047862	-85.89615	3218
26.368595	-80.137119	8046
26.66191	-80.202885	8046
26.145108	-80.32468	8046
28.443652	-81.402676	8046
28.130274	-82.367915	8046
29.19071	-81.07309	8046
28.55345	-81.328727	8046
28.017437	-82.737532	8046
27.296539	-82.53062	8046
27.462345	-82.571311	8046
30.457514	-88.89943	8046
28.37798	-81.4044	8046
26.485986	-81.791663	8046
27.461057	-82.604163	8046
28.455279	-82.630931	8046
27.928952	-82.326945	8046
26.408187	-81.809924	8046
